#energy        flux [photons cm-2 s-1 kev-1]    flux [photons cm-2 s-1 kev-1]                        
      4.38           603.019945333028         0.00000116666627987544                      
      4.39           593.567123638265         0.00000108763345531879                      
       4.4           584.265882648775         0.00000101395472337898                      
      4.41           575.114570552976         0.00000094527381870252                      
      4.42            566.10981439536         0.00000088124527390786                      
      4.43            557.26302856691         0.00000082155905014309                      
      4.44           548.544754746239         0.00000076591461602525                      
      4.45           539.966662538344         0.00000071405067625507                      
      4.46           531.525604204254         0.00000066569891728747                      
      4.47            525.79485123207         0.00000062062413307418                      
      4.48           515.047125299751         0.00000057859900357488                      
      4.49           508.419182951958         0.00000053942488007492                      
       4.5           500.198853682436         0.00000050290743791786                      
      4.51           497.441818417853         0.00000046885946201164                      
      4.52           499.681465269571         0.00000043712170373662                      
      4.53           476.100989860357         0.00000040753376466723                      
      4.54           468.925017561823         0.00000037994791157251                      
      4.55           461.378806442135         0.00000035423420612946                      
      4.56           454.193356314316         0.00000033025904211735                      
      4.57           447.121981290933         0.00000030791007051961                      
      4.58           440.164456535625         0.00000028707405921209                      
      4.59           433.315330696605         0.00000026764695241090                      
       4.6           426.576381979909         0.00000024953952578857                      
      4.61           419.944199608369         0.00000023265501449692                      
      4.62           413.417661405663         0.00000021691338881853                      
      4.63           406.994423905268         0.00000020224023151500                      
      4.64           400.673458014727         0.00000018855997234487                      
      4.65           394.452332052858         0.00000017580453612893                      
      4.66           388.330165666998         0.00000016391278424531                      
      4.67           382.304712786834         0.00000015282562846094                      
      4.68           376.375958641952         0.00000014248994722189                      
      4.69           370.538798836072         0.00000013285384292913                      
       4.7            364.79525028463         0.00000012387011664232                      
      4.71              359.142263752         0.00000011549381299415                      
      4.72           353.578901297488         0.00000010768458067833                      
      4.73           1212.84237827273         0.00000010040328865150                      
      4.74           342.993780219687         0.00000009361522905176                      
      4.75           337.410051517696         0.00000008728656663734                      
      4.76           340.073960603941         0.00000008138599505900                      
      4.77           327.051729608432         0.00000007588469030822                      
      4.78           321.994628407353         0.00000007075501923052                      
      4.79           317.017471107853         0.00000006597220494596                      
       4.8            312.34958195014         0.00000006151334767273                      
      4.81           307.296857529596         0.00000005735642577321                      
      4.82           352.277789225827         0.00000005347991956738                      
      4.83            428.10413396084         0.00000004986573091357                      
      4.84            293.28204852886         0.00000004649640784787                      
      4.85           288.756742168283         0.00000004335433657002                      
      4.86           284.302338421231         0.00000004042516447532                      
      4.87           279.918122150474         0.00000003769389238906                      
      4.88           275.602543440533         0.00000003514719456468                      
      4.89           271.354909547207         0.00000003277283878567                      
       4.9           267.173725978098         0.00000003055885964467                      
      4.91           263.058320556003         0.00000002849456010064                      
      4.92           259.007247811997         0.00000002656994382928                      
      4.93           255.020424076783         0.00000002477501720709                      
      4.94           251.094759476318         0.00000002310195806367                      
      4.95           247.231314960507         0.00000002154174103052                      
      4.96           243.428175881179         0.00000002008664677661                      
      4.97             239.6847379866         0.00000001873045372833                      
      4.98           235.999690312495         0.00000001746565705436                      
      4.99           232.372445189268         0.00000001628625320795                      
         5           228.801737658651         0.00000001518640740121                      
